Drug1,Drug2,VITAMINS,SYMPTOMS,vitamin_labels,combined_text,vitamin_inferred,inference_confidence
Toremifene,Digoxin,D,"Bone,jointpain,fatigue,muscleweakness",['D'],"toremifene digoxin bone,jointpain,fatigue,muscleweakness",False,
Arsenictrioxide,Digoxin,"B1,B6,B12neurotoxicityrelated","ness,tingling,weakness,confusion","['B1', 'B6']","arsenictrioxide digoxin ness,tingling,weakness,confusion",False,
Goserelin,Digoxin,D,"Boneloss,jointpain,lowenergy",['D'],"goserelin digoxin boneloss,jointpain,lowenergy",False,
Vorinostat,Digoxin,"B9,B12,D","Fatigue,,paleskin,musclepain","['B12', 'D']","vorinostat digoxin fatigue,,paleskin,musclepain",False,
Octreotide,Digoxin,B12,"Fatigue,ness,tingling,paleskin,weakness",['B12'],"octreotide digoxin fatigue,ness,tingling,paleskin,weakness",False,
Triptorelin,Digoxin,D,"Bonepain,muscleweakness,lowenergy",['D'],"triptorelin digoxin bonepain,muscleweakness,lowenergy",False,
Degarelix,Digoxin,D,"Boneloss,jointdiscomfort,fatigue",['D'],"degarelix digoxin boneloss,jointdiscomfort,fatigue",False,
Eribulin,Digoxin,"B1,B6,B12chemorelated","ness,tingling,weakness,fatigue","['B1', 'B6']","eribulin digoxin ness,tingling,weakness,fatigue",False,
Epirubicin,Digoxin,"B9,B12","Fatigue,pallor,memoryissues,",['B12'],"epirubicin digoxin fatigue,pallor,memoryissues,",False,
Streptomycin,Digoxin,B6,"Peripheral,ness,irritability",['B6'],"streptomycin digoxin peripheral,ness,irritability",False,
Kanamycin,Digoxin,B6,"Tingling,ness,,weakness",['B6'],"kanamycin digoxin tingling,ness,,weakness",False,
Idarubicin,Digoxin,"B9,B12","Fatigue,pallor,ness,memoryissues",['B12'],"idarubicin digoxin fatigue,pallor,ness,memoryissues",False,
Plicamycin,Digoxin,"B12,B9","Fatigue,,paleskin,dizziness",['B12'],"plicamycin digoxin fatigue,,paleskin,dizziness",False,
Streptozocin,Digoxin,"B6,B9","Fatigue,peripheral,weakness",['B6'],"streptozocin digoxin fatigue,peripheral,weakness",False,
Tobramycin,Digoxin,B6,"Peripheral,ness,tingling,weakness",['B6'],"tobramycin digoxin peripheral,ness,tingling,weakness",False,
Amrubicin,Digoxin,"B9,B12","Fatigue,pallor,memoryissues,",['B12'],"amrubicin digoxin fatigue,pallor,memoryissues,",False,
Framycetin,Digoxin,B6,"Tingling,ness,irritability",['B6'],"framycetin digoxin tingling,ness,irritability",False,
Netilmicin,Digoxin,B6,"Nervepain,tinglinghands,feet,weakness",['B6'],"netilmicin digoxin nervepain,tinglinghands,feet,weakness",False,
Amikacin,Digoxin,B6,"Peripheral,fatigue,ness",['B6'],"amikacin digoxin peripheral,fatigue,ness",False,
Valrubicin,Digoxin,"B9,B12","Fatigue,,anemia,cognitiveissues",['B12'],"valrubicin digoxin fatigue,,anemia,cognitiveissues",False,
Daunorubicin,Digoxin,"B9,B12","Fatigue,pallor,ness,memoryissues",['B12'],"daunorubicin digoxin fatigue,pallor,ness,memoryissues",False,
Ribostamycin,Digoxin,B6,"Tingling,weakness,ness",['B6'],"ribostamycin digoxin tingling,weakness,ness",False,
Doxorubicin,Digoxin,"B9,B12","Fatigue,,anemia,paleskin",['B12'],"doxorubicin digoxin fatigue,,anemia,paleskin",False,
Doxorubicin,Digoxin,B6,"ness,tingling,weakness",['B6'],"doxorubicin digoxin ness,tingling,weakness",False,
Arbekacin,Digoxin,B6,"Peripheral,fatigue,tingling",['B6'],"arbekacin digoxin peripheral,fatigue,tingling",False,
Gentamicin,Digoxin,B6,"ness,tingling,irritability",['B6'],"gentamicin digoxin ness,tingling,irritability",False,
Paromomycin,Digoxin,B6,"Tingling,weakness,",['B6'],"paromomycin digoxin tingling,weakness,",False,
Spectinomycin,Digoxin,D,"Boneloss,muscleweakness,fatigue",['D'],"spectinomycin digoxin boneloss,muscleweakness,fatigue",False,
Prednisone,Digoxin,D,"Weakbones,tiredness,musclepain",['D'],"prednisone digoxin weakbones,tiredness,musclepain",False,
Methylprednisolone,Digoxin,D,"Bonepain,fatigue,muscleweakness",['D'],"methylprednisolone digoxin bonepain,fatigue,muscleweakness",False,
Formestane,Digoxin,"Ca,D","Bone,jointpain,lowenergy,musclecramps",['D'],"formestane digoxin bone,jointpain,lowenergy,musclecramps",False,
Bendroflumethiazide,Digoxin,B6,"Irritability,nervetingling,fatigue",['B6'],"bendroflumethiazide digoxin irritability,nervetingling,fatigue",False,
Practolol,Digoxin,"B9,B12","Fatigue,pallor,,memoryissues",['B12'],"practolol digoxin fatigue,pallor,,memoryissues",False,
Altretamine,Digoxin,B12,"Fatigue,ness,tinglingextremities",['B12'],"altretamine digoxin fatigue,ness,tinglingextremities",False,
Bretylium,Digoxin,B12,"Fatigue,neuropathictingling,lowenergy",['B12'],"bretylium digoxin fatigue,neuropathictingling,lowenergy",False,
Bevantolol,Digoxin,"Mg,K,B1","Musclecramps,weakness,fatigue,arrhythmias",['B1'],"bevantolol digoxin musclecramps,weakness,fatigue,arrhythmias",False,
Chlorthalidone,Digoxin,A,"Visionchanges,dryskin,fatigue",['A'],"chlorthalidone digoxin visionchanges,dryskin,fatigue",False,
Tretinoin,Digoxin,"Mg,K,B1","Musclecramps,fatigue,weakness",['B1'],"tretinoin digoxin musclecramps,fatigue,weakness",False,
Methyclothiazide,Digoxin,"B9,B12","Fatigue,anemia,ness,",['B12'],"methyclothiazide digoxin fatigue,anemia,ness,",False,
Triamterene,Digoxin,"Mg,K,B1","Musclecramps,fatigue,arrhythmias",['B1'],"triamterene digoxin musclecramps,fatigue,arrhythmias",False,
Metolazone,Digoxin,"Mg,K,B1","Musclecramps,weakness,fatigue",['B1'],"metolazone digoxin musclecramps,weakness,fatigue",False,
Chlorothiazide,Digoxin,"Mg,K,B1","Musclecramps,weakness,arrhythmiarisk",['B1'],"chlorothiazide digoxin musclecramps,weakness,arrhythmiarisk",False,
Quinacrine,Digoxin,B6,",tingling,fatigue",['B6'],"quinacrine digoxin ,tingling,fatigue",False,
Nelarabine,Digoxin,"B9,B12","Fatigue,,pallor,memoryissues",['B12'],"nelarabine digoxin fatigue,,pallor,memoryissues",False,
Azacitidine,Digoxin,"B9,B12","Fatigue,anemia,,cognitiveissues",['B12'],"azacitidine digoxin fatigue,anemia,,cognitiveissues",False,
Ifosfamide,Digoxin,"B1,B6","Fatigue,,weakness,tingling","['B1', 'B6']","ifosfamide digoxin fatigue,,weakness,tingling",False,
Cytarabine,Digoxin,"B9,B12","Fatigue,pallor,,memoryissues",['B12'],"cytarabine digoxin fatigue,pallor,,memoryissues",False,
Lomustine,Digoxin,"B9,B12","Fatigue,,pallor,cognitiveslowdown",['B12'],"lomustine digoxin fatigue,,pallor,cognitiveslowdown",False,
Tofacitinib,Digoxin,D,"Bone,musclepain,fatigue,lowimmunity",['D'],"tofacitinib digoxin bone,musclepain,fatigue,lowimmunity",False,
Mechlorethamine,Digoxin,"B9,B12","Fatigue,,pallor,weakness",['B12'],"mechlorethamine digoxin fatigue,,pallor,weakness",False,
Vincristine,Digoxin,"B1,B6,B12","Peripheral,ness,tingling,weakness","['B1', 'B6', 'B12']","vincristine digoxin peripheral,ness,tingling,weakness",False,
Temozolomide,Digoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"temozolomide digoxin fatigue,,pallor,cognitiveissues",False,
Busulfan,Digoxin,"B9,B12","Fatigue,,pallor,weakness",['B12'],"busulfan digoxin fatigue,,pallor,weakness",False,
Vinorelbine,Digoxin,"B1,B6,B12","Peripheral,tingling,weakness","['B1', 'B6', 'B12']","vinorelbine digoxin peripheral,tingling,weakness",False,
Tioguanine,Digoxin,"B9,B12","Fatigue,,pallor,cognitiveslowdown",['B12'],"tioguanine digoxin fatigue,,pallor,cognitiveslowdown",False,
Mitoxantrone,Digoxin,"B9,B12","Fatigue,pallor,,memoryissues",['B12'],"mitoxantrone digoxin fatigue,pallor,,memoryissues",False,
Fluorouracil,Digoxin,"B9,B12","Fatigue,pallor,,cognitiveissues",['B12'],"fluorouracil digoxin fatigue,pallor,,cognitiveissues",False,
Oxaliplatin,Digoxin,"B1,B6,B12","Peripheral,ness,tingling,weakness","['B1', 'B6', 'B12']","oxaliplatin digoxin peripheral,ness,tingling,weakness",False,
Pemetrexed,Digoxin,"B9,B12","Fatigue,pallor,,cognitiveissues",['B12'],"pemetrexed digoxin fatigue,pallor,,cognitiveissues",False,
Capecitabine,Digoxin,"B9,B12","Fatigue,,pallor,memoryissues",['B12'],"capecitabine digoxin fatigue,,pallor,memoryissues",False,
Fludarabine,Digoxin,"B9,B12","Fatigue,pallor,,cognitiveissues",['B12'],"fludarabine digoxin fatigue,pallor,,cognitiveissues",False,
Pralatrexate,Digoxin,"B9,B12","Fatigue,pallor,,memoryissues",['B12'],"pralatrexate digoxin fatigue,pallor,,memoryissues",False,
Etoposide,Digoxin,"B9,B12","Fatigue,pallor,,cognitiveissues",['B12'],"etoposide digoxin fatigue,pallor,,cognitiveissues",False,
Ruxolitinib,Digoxin,D,"Bonepain,muscleweakness,fatigue",['D'],"ruxolitinib digoxin bonepain,muscleweakness,fatigue",False,
Melphalan,Digoxin,"B9,B12","Fatigue,pallor,,memoryissues",['B12'],"melphalan digoxin fatigue,pallor,,memoryissues",False,
Sorafenib,Digoxin,D,"Bone,musclepain,lowenergy,weakness",['D'],"sorafenib digoxin bone,musclepain,lowenergy,weakness",False,
Teniposide,Digoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"teniposide digoxin fatigue,,pallor,cognitiveissues",False,
Everolimus,Digoxin,"D,B12","Muscleweakness,fatigue,bonediscomfort","['D', 'B12']","everolimus digoxin muscleweakness,fatigue,bonediscomfort",False,
Azathioprine,Digoxin,"B9,B12","Fatigue,pallor,,cognitiveissues",['B12'],"azathioprine digoxin fatigue,pallor,,cognitiveissues",False,
Dactinomycin,Digoxin,"B9,B12","Fatigue,pallor,,memoryissues",['B12'],"dactinomycin digoxin fatigue,pallor,,memoryissues",False,
Mitomycin,Digoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"mitomycin digoxin fatigue,,pallor,cognitiveissues",False,
Cisplatin,Digoxin,"Mg,B6,B12","Musclecramps,tingling,ness,weakness","['B6', 'B12']","cisplatin digoxin musclecramps,tingling,ness,weakness",False,
Carmustine,Digoxin,"B9,B12","Fatigue,pallor,,memoryissues",['B12'],"carmustine digoxin fatigue,pallor,,memoryissues",False,
Hydroxyurea,Digoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"hydroxyurea digoxin fatigue,,pallor,cognitiveissues",False,
Cladribine,Digoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"cladribine digoxin fatigue,,pallor,cognitiveissues",False,
Ibrutinib,Digoxin,"D,B12","Fatigue,bone,musclepain,weakness","['D', 'B12']","ibrutinib digoxin fatigue,bone,musclepain,weakness",False,
Amsacrine,Digoxin,"B9,B12","Fatigue,,pallor,memoryissues",['B12'],"amsacrine digoxin fatigue,,pallor,memoryissues",False,
Vinblastine,Digoxin,"B1,B6,B12","Peripheral,tingling,weakness","['B1', 'B6', 'B12']","vinblastine digoxin peripheral,tingling,weakness",False,
Temsirolimus,Digoxin,"D,B12","Bone,muscleweakness,fatigue","['D', 'B12']","temsirolimus digoxin bone,muscleweakness,fatigue",False,
Thiotepa,Digoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"thiotepa digoxin fatigue,,pallor,cognitiveissues",False,
Gemcitabine,Digoxin,"B9,B12","Fatigue,,pallor,memoryissues",['B12'],"gemcitabine digoxin fatigue,,pallor,memoryissues",False,
Chlorambucil,Digoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"chlorambucil digoxin fatigue,,pallor,cognitiveissues",False,
Mercaptopurine,Digoxin,"B9,B12","Fatigue,pallor,,cognitiveissues",['B12'],"mercaptopurine digoxin fatigue,pallor,,cognitiveissues",False,
Methotrexate,Digoxin,"B9,B12","Fatigue,pallor,,memoryissues",['B12'],"methotrexate digoxin fatigue,pallor,,memoryissues",False,
Bleomycin,Digoxin,"B9,B12","Fatigue,pallor,,cognitiveissues",['B12'],"bleomycin digoxin fatigue,pallor,,cognitiveissues",False,
Estramustine,Digoxin,"D,B12","Bone,muscleweakness,fatigue","['D', 'B12']","estramustine digoxin bone,muscleweakness,fatigue",False,
Vindesine,Digoxin,"B1,B6,B12","Peripheral,tingling,weakness","['B1', 'B6', 'B12']","vindesine digoxin peripheral,tingling,weakness",False,
Floxuridine,Digoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"floxuridine digoxin fatigue,,pallor,cognitiveissues",False,
Dacarbazine,Digoxin,"B9,B12","Fatigue,,pallor,memoryissues",['B12'],"dacarbazine digoxin fatigue,,pallor,memoryissues",False,
Trabectedin,Digoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"trabectedin digoxin fatigue,,pallor,cognitiveissues",False,
Irinotecan,Digoxin,"B9,B12","Fatigue,,pallor,memoryissues",['B12'],"irinotecan digoxin fatigue,,pallor,memoryissues",False,
Topotecan,Digoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"topotecan digoxin fatigue,,pallor,cognitiveissues",False,
Tibolone,Digoxin,D,"Bone,muscleweakness,fatigue",['D'],"tibolone digoxin bone,muscleweakness,fatigue",False,
Polythiazide,Digoxin,"Mg,K,B1","Musclecramps,fatigue,weakness,arrhythmias",['B1'],"polythiazide digoxin musclecramps,fatigue,weakness,arrhythmias",False,
Trichlormethiazide,Digoxin,"Mg,K,B1","Musclecramps,weakness,fatigue",['B1'],"trichlormethiazide digoxin musclecramps,weakness,fatigue",False,
Albendazole,Digoxin,B6,"Tingling,ness,peripheral",['B6'],"albendazole digoxin tingling,ness,peripheral",False,
Gefitinib,Digoxin,"D,B12","Bone,musclepain,fatigue,weakness","['D', 'B12']","gefitinib digoxin bone,musclepain,fatigue,weakness",False,
Lapatinib,Digoxin,"D,B12","Muscleweakness,bonediscomfort,fatigue","['D', 'B12']","lapatinib digoxin muscleweakness,bonediscomfort,fatigue",False,
Regorafenib,Digoxin,D,"Fatigue,muscle,bonepain,lowenergy",['D'],"regorafenib digoxin fatigue,muscle,bonepain,lowenergy",False,
Ponatinib,Digoxin,D,"Bone,muscleweakness,fatigue",['D'],"ponatinib digoxin bone,muscleweakness,fatigue",False,
Paricalcitol,Digoxin,D,"Fatigue,bone,musclepain,weakness",['D'],"paricalcitol digoxin fatigue,bone,musclepain,weakness",False,
Bendamustine,Digoxin,"B9,B12","Fatigue,,pallor,memoryissues",['B12'],"bendamustine digoxin fatigue,,pallor,memoryissues",False,
Axitinib,Digoxin,D,"Bone,muscleweakness,fatigue",['D'],"axitinib digoxin bone,muscleweakness,fatigue",False,
Flutamide,Digoxin,D,"Bonepain,fatigue,muscleweakness",['D'],"flutamide digoxin bonepain,fatigue,muscleweakness",False,
Nilutamide,Digoxin,D,"Bone,muscleweakness,lowenergy",['D'],"nilutamide digoxin bone,muscleweakness,lowenergy",False,
Vismodegib,Digoxin,D,"Muscleweakness,fatigue,bonepain",['D'],"vismodegib digoxin muscleweakness,fatigue,bonepain",False,
Exemestane,Digoxin,D,"Fatigue,bone,muscleweakness",['D'],"exemestane digoxin fatigue,bone,muscleweakness",False,
Methyltestosterone,Digoxin,D,"Bone,musclepain,fatigue",['D'],"methyltestosterone digoxin bone,musclepain,fatigue",False,
